item_id,item_name,standard_code,ingredient_code,strength,form,route,pack_size,supplier,is_essential,substitute_group_id,atc_code
ITM-0076,한결온단세트론주 8mg/4mL,9902604300076,ING-026,8mg/4mL,주사,정맥주사,50,한결바이오,0,SG-043,A04AA01
ITM-0077,메트포르민정 500mg,9902704400077,ING-027,500mg,정제,경구,500,유니메드,1,SG-044,A10BA02
ITM-0078,대한메트포르민정 500mg,9902704400078,ING-027,500mg,정제,경구,500,대한제약,1,SG-044,A10BA02
ITM-0079,미래메트포르민정 500mg,9902704400079,ING-027,500mg,정제,경구,500,미래바이오,1,SG-044,A10BA02
ITM-0080,유니메트포르민서방정 1000mg,9902704500080,ING-027,1000mg,서방정,경구,300,유니메드,1,SG-045,A10BA02
ITM-0081,한빛글리메피리드정 2mg,9902804600081,ING-028,2mg,정제,경구,300,한빛제약,0,SG-046,A10BB12
ITM-0082,서울글리메피리드정 2mg,9902804600082,ING-028,2mg,정제,경구,300,서울파마,0,SG-046,A10BB12
ITM-0083,유니시타글립틴정 100mg,9902904700083,ING-029,100mg,정제,경구,100,유니메드,0,SG-047,A10BH01
ITM-0084,그린살부타몰정 2mg,9903004800084,ING-030,2mg,정제,경구,100,그린바이오,0,SG-048,R03AC02
ITM-0085,그린살부타몰시럽 2mg/5mL,9903004900085,ING-030,2mg/5mL,시럽,경구,20,그린바이오,0,SG-049,R03AC02
ITM-0086,서울부데소니드캡슐 3mg,9903105000086,ING-031,3mg,캡슐,경구,100,서울파마,0,SG-050,R03BA02
ITM-0087,유니몬테루카스트정 10mg,9903205100087,ING-032,10mg,정제,경구,300,유니메드,0,SG-051,R03DC03
ITM-0088,미래몬테루카스트정 10mg,9903205100088,ING-032,10mg,정제,경구,300,미래바이오,0,SG-051,R03DC03
ITM-0089,그린몬테루카스트산 4mg,9903205200089,ING-032,4mg,산제,경구,100,그린바이오,0,SG-052,R03DC03
ITM-0090,그린아세틸시스테인산 200mg,9903305300090,ING-033,200mg,산제,경구,100,그린바이오,0,SG-053,R05CB01
ITM-0091,누리아세틸시스테인산 200mg,9903305300091,ING-033,200mg,산제,경구,100,누리팜,0,SG-053,R05CB01
ITM-0092,한빛로라제팜정 1mg,9903405400092,ING-034,1mg,정제,경구,100,한빛제약,0,SG-054,N05BA06
ITM-0093,메디로라제팜주 4mg/2mL,9903405500093,ING-034,4mg/2mL,주사,정맥주사,50,메디팜,0,SG-055,N05BA06
ITM-0094,한빛졸피뎀정 10mg,9903505600094,ING-035,10mg,정제,경구,100,한빛제약,0,SG-056,N05CF02
ITM-0095,서울졸피뎀정 10mg,9903505600095,ING-035,10mg,정제,경구,100,서울파마,0,SG-056,N05CF02
ITM-0096,유니에스시탈로프람정 10mg,9903605700096,ING-036,10mg,정제,경구,300,유니메드,0,SG-057,N06AB10
ITM-0097,미래에스시탈로프람정 10mg,9903605700097,ING-036,10mg,정제,경구,300,미래바이오,0,SG-057,N06AB10
ITM-0098,한결생리식염주사액 0.9%/500mL,9903705800098,ING-037,0.9%/500mL,주사,정맥주사,20,한결바이오,1,SG-058,B05XA03
ITM-0099,누리생리식염주사액 0.9%/500mL,9903705800099,ING-037,0.9%/500mL,주사,정맥주사,20,누리팜,1,SG-058,B05XA03
ITM-0100,한결생리식염주사액 0.9%/100mL,9903705900100,ING-037,0.9%/100mL,주사,정맥주사,50,한결바이오,1,SG-059,B05XA03
ITM-0101,메디염화칼륨주 40mEq/20mL,9903806000101,ING-038,40mEq/20mL,주사,정맥주사,50,메디팜,1,SG-060,B05XA01
ITM-0102,한결염화칼륨주 40mEq/20mL,9903806000102,ING-038,40mEq/20mL,주사,정맥주사,50,한결바이오,1,SG-060,B05XA01
ITM-0103,메디헤파린주 25000IU/5mL,9903906100103,ING-039,25000IU/5mL,바이알,정맥주사,10,메디팜,1,SG-061,B01AB01
ITM-0104,대한헤파린주 25000IU/5mL,9903906100104,ING-039,25000IU/5mL,바이알,정맥주사,10,대한제약,1,SG-061,B01AB01
ITM-0105,메디에녹사파린주 40mg/0.4mL,9904006200105,ING-040,40mg/0.4mL,주사,정맥주사,10,메디팜,0,SG-062,B01AB05
ITM-0106,미래에녹사파린주 40mg/0.4mL,9904006200106,ING-040,40mg/0.4mL,주사,정맥주사,10,미래바이오,0,SG-062,B01AB05
ITM-0107,유니클로피도그렐정 75mg,9904106300107,ING-041,75mg,정제,경구,300,유니메드,0,SG-063,B01AC04
ITM-0108,서울클로피도그렐정 75mg,9904106300108,ING-041,75mg,정제,경구,300,서울파마,0,SG-063,B01AC04
ITM-0109,메디덱사메타손주 5mg/1mL,9904206400109,ING-042,5mg/1mL,주사,정맥주사,50,메디팜,0,SG-064,H02AB02
ITM-0110,누리덱사메타손주 5mg/1mL,9904206400110,ING-042,5mg/1mL,주사,정맥주사,50,누리팜,0,SG-064,H02AB02
ITM-0111,한빛덱사메타손정 0.5mg,9904206500111,ING-042,0.5mg,정제,경구,100,한빛제약,0,SG-065,H02AB02
ITM-0112,메디메틸프레드니솔론주 125mg,9904306600112,ING-043,125mg,바이알,정맥주사,10,메디팜,0,SG-066,H02AB04
ITM-0113,한결메틸프레드니솔론주 125mg,9904306600113,ING-043,125mg,바이알,정맥주사,10,한결바이오,0,SG-066,H02AB04
ITM-0114,한빛프레드니솔론정 5mg,9904406700114,ING-044,5mg,정제,경구,300,한빛제약,0,SG-067,H02AB06
ITM-0115,대한프레드니솔론정 5mg,9904406700115,ING-044,5mg,정제,경구,300,대한제약,0,SG-067,H02AB06
ITM-0116,유니레보티록신정 0.1mg,9904506800116,ING-045,0.1mg,정제,경구,100,유니메드,0,SG-068,H03AA01
ITM-0117,서울레보티록신정 0.1mg,9904506800117,ING-045,0.1mg,정제,경구,100,서울파마,0,SG-068,H03AA01
ITM-0118,대한탐수로신캡슐 0.2mg,9904606900118,ING-046,0.2mg,캡슐,경구,100,대한제약,0,SG-069,G04CA02
ITM-0119,미래탐수로신캡슐 0.2mg,9904606900119,ING-046,0.2mg,캡슐,경구,100,미래바이오,0,SG-069,G04CA02
ITM-0120,메디트라넥삼산주 250mg/5mL,9904707000120,ING-047,250mg/5mL,주사,정맥주사,50,메디팜,0,SG-070,B02AA02
ITM-0121,누리트라넥삼산주 250mg/5mL,9904707000121,ING-047,250mg/5mL,주사,정맥주사,50,누리팜,0,SG-070,B02AA02
ITM-0122,그린트라넥삼산캡슐 250mg,9904707100122,ING-047,250mg,캡슐,경구,100,그린바이오,0,SG-071,B02AA02
ITM-0123,메디리도카인주 2%/5mL,9904807200123,ING-048,2%/5mL,주사,근육주사,50,메디팜,1,SG-072,N01BB02
ITM-0124,한결리도카인패치 5%,9904807300124,ING-048,5%,패치,외용,30,한결바이오,1,SG-073,N01BB02
